Code,General Facilities,Facility Count,Room Type Number
1,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Alarm clock, Inner courtyard view, City view, Landmark view, Mountain view, Garden view, View, Terrace, Coffee machine, Electric kettle, Refrigerator, Socket near the bed, Drying rack for clothing, Clothes rack, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Themed dinners, Walking toursAdditional charge, Evening entertainment, Kids' clubAdditional charge, Entertainment staff, HikingAdditional charge, Pool table, Game room, SkiingOff-site, FishingAdditional chargeOff-site, Desk, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Coffee house on site, Fruit, Wine/ChampagneAdditional charge, Kid-friendly buffet, Special diet meals (on request), Snack bar, Bar, Minibar, Restaurant, Tea/Coffee maker, Electric vehicle charging station, Accessible parking, Invoice provided, Lockers, Concierge, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Indoor play area, Board games/Puzzles, Board games/puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/Photocopying, Business center, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, 24-hour security, Safe, Shuttle serviceAdditional charge, Carbon monoxide detector, Grocery deliveriesAdditional charge, Convenience store on site, Shared lounge/TV area, Hypoallergenic, Air conditioning, Smoke-free property, Hypoallergenic room available, Wake-up service, Heating, Soundproof, Private entrance, Laptop safe, Packed lunches, Carpeted, Soundproof rooms, Elevator, Fan, Family rooms, Ironing facilities, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Wake-up service/Alarm clock, Room service, Bathroom emergency cord, Lowered sink, Raised toilet, Toilet with grab rails, Wheelchair accessible, Upper floors accessible by stairs only, Upper floors accessible by elevator, Opening times, Open all year, Heated pool, Swimming pool toys, Pool/Beach towels, Beach chairs/Loungers, Beach chairs/Loungers, English, Russian",121,5
2,"Terrace, Garden, Ping-pong, Pool table, Game room, Wine/ChampagneAdditional charge, Special diet meals (on request), Snack bar, Bar, Restaurant, Concierge, ATM on site, Baggage storage, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/Photocopying, Business center, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key card access, 24-hour security, Shared lounge/TV area, Designated smoking area, Air conditioning, Heating, Chapel/Shrine, Elevator, Family rooms, Hair/Beauty salon, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Open all year, All ages welcome, Locker rooms, Fitness classes, MassageAdditional charge, SpaAdditional charge, Fitness center, English, Russian",47,4
3,"Toilet paper, Towels, Bidet, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Bathtub, Shower, Linens, Wardrobe or closet, Walk-in closet, View, Balcony, Garden, Refrigerator, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, HikingAdditional charge, Pool table, Sofa, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Fruit, Special diet meals (on request), Bar, Restaurant, ATM on site, Currency exchange, 24-hour front desk, Daily housekeeping, Ironing serviceAdditional charge, Dry cleaningAdditional charge, Laundry, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Key card access, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Mosquito net, Wake-up service, Heating, Private entrance, Packed lunches, Carpeted, Elevator, Fan, Family rooms, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Upper floors accessible by elevator, Fitness, Fitness center, English, Russian",68,2
4,"Toilet paper, Towels, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Landmark view, Mountain view, Garden view, View, Terrace, Garden, Electric kettle, Refrigerator, Socket near the bed, Clothes rack, Ski-in, ski-out access, Ski storage, Walking tours, Horseback ridingAdditional chargeOff-site, Hiking, Skiing, FishingAdditional chargeOff-site, Desk, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Special diet meals (on request), Bar, Restaurant, Tea/Coffee maker, Street parking, Accessible parking, Invoice provided, Private check-in/out, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Baby safety gates, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/PhotocopyingAdditional charge, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shuttle serviceAdditional charge, Grocery deliveriesAdditional charge, Shared lounge/TV area, Hypoallergenic, Designated smoking area, Hypoallergenic room available, Mosquito net, Wake-up service, Heating, Soundproof, Packed lunches, Carpeted, Soundproof rooms, Family rooms, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Toilet with grab rails, Upper floors accessible by stairs only, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, MassageAdditional charge, English, Russian",92,4
5,"Toilet paper, Towels, Slippers, Private bathroom, Toilet, Hairdryer, Shower, Linens, Wardrobe or closet, Garden view, View, Outdoor fireplace, Picnic area, Outdoor furniture, Sun deck, BBQ facilities, Balcony, Terrace, Garden, Shared kitchen, Dining table, Kitchenware, Electric kettle, Refrigerator, Dining area, Flat-screen TV, Tea/Coffee maker, Shared lounge/TV area, Room service, Outdoor play equipment for kids, CCTV outside property, Air conditioning, Heating, Russian",34,1
6,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Walk-in closet, View, Outdoor furniture, Terrace, Refrigerator, Socket near the bed, Clothes rack, Ski storage, Ping-pong, Pool table, Playground, Skiing, Tennis court, Desk, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Bar, Minibar, Restaurant, Private check-in/out, 24-hour front desk, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/PhotocopyingAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Key card access, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Shared lounge/TV area, Designated smoking area, Wake-up service, Heating, Carpeted, Fan, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Upper floors accessible by stairs only, Locker rooms, Fitness, Massage chair, Russian",65,4
7,"Electric vehicle charging station, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Toilet paper, Bathtub or shower, Slippers, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Sofa, Sitting area, Flat-screen TV, Socket near the bed, Sofa bed, Soundproof, Heating, Balcony, Garden, Tea/Coffee maker, View, Child safety socket covers, Air conditioning, Smoke-free property, Family rooms, Non-smoking rooms, Carbon monoxide detector, English, Russian",33,1
8,"Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Flat-screen TV, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Ironing facilities, Iron, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Balcony, Terrace, Garden, Chapel/Shrine, Seasonal(temporarily closed), All ages welcome, Beach chairs/Loungers, Beach chairs/Loungers, SaunaAdditional charge, Inner courtyard view, Mountain view, Garden view, View, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Outdoor play equipment for kids, Board games/Puzzles, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Key access, Carbon monoxide detector, English, Armenian, Russian",73,1
9,"Towels, Private bathroom, Toilet, Shower, Wardrobe or closet, Garden, Hiking, Ping-pongAdditional charge, Pool tableAdditional charge, Skiing, Special diet meals (on request), Bar, Restaurant, Street parking, Shuttle serviceAdditional charge, Daily housekeeping, Tour desk, Ironing serviceAdditional charge, Hair/Beauty salon, LaundryAdditional charge, Babysitting/Child servicesAdditional charge, 24-hour front desk, Smoke-free property, Heating, Carpeted, Elevator, Family rooms, Non-smoking rooms, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, Spa facilities, Haircut, Beauty services, Hot tub/JacuzziAdditional charge, MassageAdditional charge, Spa, English, Russian",42,8
10,"Street parking, Valet parking, Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Alarm clock, Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, Video, DVD player, Radio, Telephone, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Carpeted, Ironing facilities, Iron, Entire unit wheelchair accessible, Entire unit located on ground floor, Outdoor dining area, Terrace, Barbecue, BBQ facilities, Patio, Garden, Chapel/Shrine, Spa facilities, MassageAdditional charge, SpaAdditional charge, Fitness centerAdditional charge, Coffee house on site, Grocery deliveriesAdditional charge, Special diet meals (on request), Tea/Coffee maker, AerobicsAdditional chargeOff-site, Tour or class about local culture, Walking tours, Ski pass vendor, Ski rental on site, Ski storage, Horseback ridingAdditional chargeOff-site, CyclingOff-site, HikingOff-site, Skiing, FishingAdditional chargeOff-site, Inner courtyard view, City view, Landmark view, Mountain view, View, Detached, Bicycle rentalAdditional charge, Shuttle serviceAdditional charge, Public transit ticketsAdditional charge, Airport shuttleAdditional charge, Private check-in/out, ATM on site, Tour desk, Express check-in/out, 24-hour front desk, Baby safety gates, Books, DVDs or music for children, Child safety socket covers, Convenience store on site, Designated smoking area, Heating, Soundproof rooms, Family rooms, Facilities for disabled guests, CCTV outside property, CCTV in common areas, Smoke alarms, English, Armenian, Russian",107,1
