Code,Check-in Time,Check-out Time,Cancellation Policy,Pets Policy,Payment Methods,Payment Type Number
1,From 1:00 PM,Until 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, JCB, Maestro, Discover, UnionPay credit card, Cash",8
2,From 3:00 PM to 3:30 PM,From 3:00 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, Maestro, Cash",5
3,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore 2:00 PM on May 5, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Discover, Cash",6
4,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Cash",3
5,From 11:00 AM to 12:00 AM,From 11:30 AM to 4:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
6,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are allowed on request. Charges may apply.,,0
7,From 4:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
8,Available 24 hours,Available 24 hours,"Free cancellationbefore April 28, 2025",Free!Pets are allowed on request. No extra charges.,,0
9,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4
10,From 1:30 PM,Until 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,,0
11,From 2:00 PM to 6:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,,0
12,From 2:00 PM to 8:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed. Charges may apply.,,0
13,From 2:00 PM to 10:00 PM,From 6:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,,0
14,From 2:00 PM to 5:00 PM,From 10:00 AM to 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are not allowed.,,0
15,From 11:30 AM to 11:30 PM,From 10:30 AM to 11:00 AM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"Visa, Cash",2
16,From 2:00 PM to 11:00 PM,From 9:00 AM to 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,,0
17,From 2:00 PM to 9:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
18,From 2:00 PM to 12:00 AM,From 8:00 AM to 1:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
19,From 1:00 PM to 7:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
20,From 2:00 PM to 12:00 AM,From 8:00 AM to 2:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
21,From 1:00 PM,Until 12:00 PM,"Free cancellationbefore April 30, 2025",Pets are not allowed.,,0
22,From 12:00 PM to 10:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0
23,From 12:00 PM to 6:00 PM,From 12:00 PM to 6:00 PM,"Free cancellationbefore April 30, 2025",Pets are allowed on request. Charges may apply.,,0
24,From 12:00 PM to 3:00 PM,From 8:00 AM to 11:00 AM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0
