Code,Room Type,Room Size,Bed Configuration,Max Occupancy,Room Price
1,Double Room,1,1 king bed,36,100
1,Twin Room,248,2 twin beds,36,151
1,Double Room - Disability Access,1,1 king bed,36,74
1,Deluxe Double Room,237,1 queen bed,36,100
1,Junior Suite,1,"2 twin beds and, 1 king bed",36,100
2,King Room,1,"1 sofa bed and, 1 queen bed",72,102
2,Twin Room,398,"2 twin beds and, 1 sofa bed",72,128
2,King Room with Balcony,1,1 king bed,72,77
2,Twin Room with Balcony,409,2 twin beds,72,153
3,Twin Room,323,2 twin beds,6,64
3,Single Room,215,1 twin bed,6,89
4,Double Room,1,1 queen bed,9,74
4,Deluxe Studio,215,1 queen bed,9,82
4,Studio with Lake View,280,1 queen bed,9,92
4,Classic Triple Room,377,"1 twin bed and, 1 queen bed",9,97
5,Double or Twin Room,1292,"3 twin beds and, 2 king beds",14,84
6,Standard Double Room,1,1 queen bed,10,92
6,Standard Triple Room,269,"1 twin bed and, 1 full bed",10,131
6,Apartment with Balcony,1,1 twin bed,10,276
6,Standard Single Room,323,1 queen bed,10,64
7,One-Bedroom Apartment,355,N/A,6,"49, 51, 46"
8,"Two-Bedroom House, Two-Bedroom Townhouse","538, 603",N/A,24,"70, 75, 86, 91, 107, 59, 74, 79, 89, 102, 112, 64"
9,Standard Double or Twin Room - Treatment Included,1,2 twin beds,12,77
9,Deluxe Double or Twin Room - Treatment included,243,1 full bed,12,84
9,Comfort Double or Twin Room - Treatment Included,1,"2 twin beds and, 1 bunk bed",12,96
9,Executive Double Suite - Treatment Included,243,2 twin beds,12,108
9,Standard Single Room - Treatment Included,1,1 full bed,12,38
9,Deluxe Single Room - Treatment Included,243,1 twin bed,12,42
9,Comfort Single Room - Treatment Included,243,1 twin bed,12,48
9,Luxury Single Room - Treatment Included,1,1 twin bed,12,54
10,Two-Bedroom Apartment,667,N/A,4,49
11,One-Bedroom Chalet,700,N/A,10,"110, 120, 130, 140"
12,Two-Bedroom Apartment,431,N/A,13,"43, 48, 47, 46, 46, 49, 51"
13,Twin Room,161,2 twin beds,9,26
13,Standard Twin Room with Sofa,291,2 twin beds,9,20
14,Apartment with Balcony,861,N/A,12,"51, 59, 64, 70, 77, 43"
15,One-Bedroom Apartment,581,N/A,4,48
16,Two-Bedroom Chalet,915,N/A,11,"140, 153, 166, 179, 192"
17,One-Bedroom Apartment,1023,N/A,12,"48, 54, 61, 74, 87"
